"Date","Price","Open","High","Low","Vol.","Change %"
"30-12-2022","18,105.30","18,259.10","18,265.25","18,080.30","192.01M","-0.47%"
"29-12-2022","18,191.00","18,045.70","18,229.70","17,992.80","281.05M","0.38%"
"28-12-2022","18,122.50","18,084.75","18,173.10","18,068.35","193.87M","-0.05%"
"27-12-2022","18,132.30","18,089.80","18,149.25","17,967.45","214.26M","0.65%"
"26-12-2022","18,014.60","17,830.40","18,084.10","17,774.25","176.65M","1.17%"
"23-12-2022","17,806.80","17,977.65","18,050.45","17,779.50","221.45M","-1.77%"
"22-12-2022","18,127.35","18,288.80","18,318.75","18,068.60","195.70M","-0.39%"
"21-12-2022","18,199.10","18,435.15","18,473.35","18,162.75","187.59M","-1.01%"
"20-12-2022","18,385.30","18,340.30","18,404.90","18,202.65","169.04M","-0.19%"
"19-12-2022","18,420.45","18,288.10","18,431.65","18,244.55","154.85M","0.83%"
"16-12-2022","18,269.00","18,319.10","18,440.95","18,255.15","277.65M","-0.79%"
"15-12-2022","18,414.90","18,614.40","18,652.90","18,387.70","183.13M","-1.32%"
"14-12-2022","18,660.30","18,671.25","18,696.10","18,632.90","208.03M","0.28%"
"13-12-2022","18,608.00","18,524.40","18,617.25","18,490.20","187.59M","0.60%"
"12-12-2022","18,497.15","18,402.15","18,521.55","18,345.70","193.88M","0.00%"
"09-12-2022","18,496.60","18,662.40","18,664.70","18,410.10","215.84M","-0.61%"
"08-12-2022","18,609.35","18,570.85","18,625.00","18,536.95","202.81M","0.26%"
"07-12-2022","18,560.50","18,638.85","18,668.30","18,528.40","200.50M","-0.44%"
"06-12-2022","18,642.75","18,600.65","18,654.90","18,577.90","217.78M","-0.31%"
"05-12-2022","18,701.05","18,719.55","18,728.60","18,591.35","288.39M","0.03%"
"02-12-2022","18,696.10","18,752.40","18,781.95","18,639.20","254.40M","-0.62%"
"01-12-2022","18,812.50","18,871.95","18,887.60","18,778.20","324.96M","0.29%"
"30-11-2022","18,758.35","18,625.70","18,816.05","18,616.55","345.64M","0.75%"
"29-11-2022","18,618.05","18,552.45","18,678.10","18,552.15","195.26M","0.30%"
